tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,yWW3ji0Cm5JOC5br5opOmiSPkXf4a2-QdrU3esSklRlfjrs,LuLu Umi Nami,543,599,552,False,False,False,False
GRANDMASTER,F0ylBUZIjgKdiBOywR41JCWZFk0Jw8laUVPfxPBAgE8vqgfWKNbUY7uRmg,IRELKlNG,640,265,204,False,False,False,False
GRANDMASTER,bcoVJbLWI5nyL6BPDY6HTIjVmCIrvjl4r4EdQzBwjyO2eV0,라쿤99,551,369,325,False,False,True,False
GRANDMASTER,ckd01_f-Sd-pyXidQOwwxloulferF9MrSyYJlqLrQdei0CYHqWoCsSDGDg,자수성가하는사람,482,144,91,False,False,True,False
GRANDMASTER,OXfQvT4K8qAr0sxMXqgerOuHL_-CdrTnv0revBUYrYznJ2c,Love버프,432,190,139,False,False,True,False
GRANDMASTER,Nd8On-jFQKuMlQnj7q_b2BC_dqyV7ktKaGhNuDrDvL2XqLM,그리움 설레임,501,186,127,False,False,True,True
GRANDMASTER,wTeFkaAMkg6jqEgkMibaJq8yb78e9DdyarwpE9pu2OY0z2fe,DK Leaf,464,1346,1296,False,False,True,False
GRANDMASTER,7aKYPO_mjKRyYVLubtX-taiUwg6YMiE7Yp0q8xvyqbGCmvQ,산속의 너구리,486,794,763,False,False,False,False
GRANDMASTER,00RCDFJZcq3yxHLlAEzOMs-ucKUMEeiK90-n0jh2NdYhEx3WLj2azn_RtQ,dongsh1yuan,752,195,139,False,False,True,True
GRANDMASTER,6BcElagVz6UVAq6I8MNrpjQQicsSb7bbSHz2SHVu5VnJ4ZU,Z2D04,578,587,532,False,False,False,False
GRANDMASTER,c2KiWy8zK1nKCfIEW4T1YG37WzpnCai4gyZ7CgUTRFE_JBndUbq1rwmWYA,BZZZIII,556,1042,1000,True,False,False,False
GRANDMASTER,f4AYjLS2X_SRbzJRNQk-aT0TTwJm3fFoB_59ralOz3Aju5U,잘려고,617,462,422,True,False,False,True
GRANDMASTER,9mLI6wE8FIqrHSLkZZF66Zuxhm5RT29Vz0gqIZ9-2ZOy5FcZHgNt3a2kZg,yikemi,500,799,739,False,False,True,False
GRANDMASTER,Ha8gXxK5tlcVrN2ZHhHOYe0Yc9KlfqOtB9OeTzQqJkiUPWQ,qoalzm,429,727,696,False,False,True,True
GRANDMASTER,U_zrYvItX_dj7mIduz3lgJvhU0ISzkKWtiJ8siqy1Itvhg,레넥톤전용6,557,907,866,False,False,False,False
GRANDMASTER,eZUdXgMB5VHjvLEWTYdsjBmMgPN-UOZGyBtAn8HUddTXGvUebIpOj0zdGA,doleimepa,549,431,386,True,False,False,False
GRANDMASTER,QsEnrXNXT0c1k6vc7QuzObRQrKuZ7wiDr3Pxn64U8naBLQM,조광희1,468,180,140,False,False,False,False
GRANDMASTER,sAbFOTrFEhRuFX1K7OQLjbDdzKTHxaflzTcqsBvtkl9CMf1pOCIbwAc1Ow,jh baby o3o,435,132,86,False,False,True,False
GRANDMASTER,B51Jg7jWbxV9EEFEXFoPk1bbtybfYxtxoqa46ZQyne76Eb0,본투파이어,431,514,479,False,False,False,False
GRANDMASTER,PBgD6WUtlJvc4zV8P2rR_ASNOBFy3wbjnOq2n_nR7Q2TFLE,Leellamarz run,443,357,292,False,False,True,False
GRANDMASTER,Ob06X5THhHScvfx1hNOKYMO7FnI_COdlocXp91Z1o2oB6y8,율 욜,480,157,117,False,False,False,False
GRANDMASTER,lSaFbyuH9hJTzhT3j9JrBAQCoBxMBpnPW80thFF5SzN7JDc,Bv5y,655,182,145,False,False,True,False
GRANDMASTER,jTALPJ2dMMvESzSZni-nPLBylvnKh7fK2JSvgh-MPktO1Zw,Fisherr,729,911,877,False,False,True,False
GRANDMASTER,xXqK8Iu29rHbRYkdY1wfEk5it5VgP10oeIFQmg1nDk1OSFPjSKbENFzy-Q,피자호팡,660,119,76,False,False,False,False
GRANDMASTER,NwRFI55-BTWB3NRh3m4Iy1XzCridzrLBT4hmFej_FUQlpFrj5eTO3sNeNQ,FAKE LOVEE,477,771,706,True,False,False,False
GRANDMASTER,uc0DtqAloOSMW9C868KbZ49HMINQKUEPu-0wpt3KQLchvD4,예쁘게 말해줘요,428,383,353,False,False,True,True
